ISO-alpha3 Code,country,pf_eigenvalue,pf_eigenvalue [0],"pf_eigenvalue [0, 1]","pf_eigenvalue [0, 1, 2]","pf_eigenvalue [0, 1, 2, 3]","pf_eigenvalue [0, 1, 2, 3, 4]","pf_eigenvalue [0, 1, 2, 3, 4, 5]","pf_eigenvalue [0, 1, 2, 3, 4, 5, 6]","pf_eigenvalue [0, 1, 2, 3, 4, 5, 6, 7]"
SLV,El Salvador,21.605577843309504,21.39856694931428,20.76416692079625,18.029720237476106,10.328955970976264,8.375170145348058,6.84373318410484,5.412611199514871,3.9627292174161237
SRB,Serbia,13.477191509767769,13.332403697499378,13.024965228423074,12.366784251894703,10.70981060954352,9.819725597245341,8.509306976730514,6.9879994114008035,5.47580976105999
STP,Sao Tome and Principe,21.817908742035545,21.03046875861112,19.36705754874606,17.31731516445926,7.835364090380374,4.125362096558407,2.699667716239481,2.0249866699926704,1.5077104511075041
SUR,Suriname,16.399165992465136,15.87130438413625,14.710299779064519,13.146710437465341,10.810549052521552,9.197381629047396,7.443663430620008,5.758659803589184,4.153395457684534
SVK,Slovakia,16.03596625519598,15.922513603879498,15.612245454352838,14.920613860617863,12.778946015515796,11.526385712804478,9.86363679579269,7.937341761706276,5.897170073885192
SVN,Slovenia,14.055954356915185,13.79285235893267,13.50249275814387,13.082891773875755,12.236343924105057,11.283010358640766,9.71102577606484,7.870157588674378,5.884821820898058
SWE,Sweden,14.951115386523508,14.744112851508982,14.478642886158166,14.016233563531184,12.185025531367515,11.090895102454477,9.755054686965037,8.271295167529257,6.536946931018648
SYC,Seychelles,16.557594286742557,16.22727752091275,15.781924446665409,14.993003512030217,11.841691653719993,10.56046109639588,8.983813819802656,7.230429379448083,5.343269893310923
SYR,Syrian Arab Republic,21.552249363368297,21.15691723792825,19.71520174520299,17.114989105472365,8.116116742917809,5.837462639968479,4.403432840434689,3.377855070988882,2.3919598005785345
THA,Thailand,16.48659244373697,16.24089707444284,15.729853068729392,14.900817638237962,13.082512338586483,11.738493924684239,10.104595234964084,8.294659937935945,6.3003506492792285
TJK,Tajikistan,25.713531264642807,25.50536528445274,25.096058228601567,23.371974933055355,10.889738117488598,8.03341187832514,6.202651673027599,4.765546939298181,3.2753134337524377
TLS,Timor-Leste,25.66075856376502,24.74122838574017,16.565467937143993,12.083408299124855,7.4131622791156575,6.052803912618715,5.020875546049243,4.086332029759214,3.0061109662709034
TON,Tonga,23.5486982182873,23.405034827070438,22.875882324214786,21.219463664688217,7.666478687918902,4.638788461049132,3.3945892494549756,2.7529693670782174,2.155784849033206
TUN,Tunisia,18.975823924375476,18.84027247690927,18.415927167637665,17.222607133864564,10.344280306729598,7.667121852615645,5.74489968665519,4.330731947294469,3.0821210775549064
TUR,Turkey,17.443325650375755,17.23812951838275,16.599679412142386,14.82257831042809,9.61171874583468,8.036493981802293,6.410086535177168,4.73889220173368,3.2526300441374234
TWN,TWN,16.134591113471092,16.04715467902279,15.664274283152077,14.174861867612716,12.215922419757447,10.891876471756776,9.082402016114008,7.1613766959125655,5.388551816861418
TZA,United Republic of Tanzania,26.112052547522158,25.461016895493366,22.361937014513266,15.704654737298155,11.399778452459934,9.684927335176628,7.983521381658121,6.437546525511753,4.910393537588644
UGA,Uganda,29.17891901374852,27.875882916006365,19.71665370105361,15.993654090136012,11.42107828177946,9.627583319627703,7.959328099378831,6.458876815868281,4.90662892370228
UKR,Ukraine,15.02484082223137,14.914823147165942,14.620452558344423,14.172534498995036,12.05514144625898,10.646937448737189,8.762115382251356,7.097980356993894,5.434508024509032
URY,Uruguay,16.078008523624923,15.847102083400157,15.30407015541531,14.180856373348185,11.514200406501885,10.186718691318575,8.662101503289168,7.034103462438406,5.308903280222765
USA,United States of America,15.503614302280743,15.33359951107131,14.951586560213226,14.003939265262394,10.901486587079159,9.734667750902464,8.40262313700654,7.087134315869196,5.645674491457053
UZB,Uzbekistan,27.3800489728902,27.27236898623635,26.820286260715193,24.775499635843634,7.7180983969864485,5.270510208978736,4.018186723936116,3.0396665473676068,2.143562640936983
VEN,Venezuela (Bolivarian Republic of),16.961387104369532,16.477329047190764,15.516343445858617,13.962803101781924,11.356038108890779,9.548373300870537,7.719229622268246,6.024172618210034,4.36542584463241
VNM,Viet Nam,18.217151544312927,17.919803896697374,17.40925793245786,16.532014924988616,13.594125285691835,11.872303988894494,9.801853488344365,7.883142837961092,5.867413754985861
VUT,Vanuatu,22.08073546725182,21.373364429695805,19.692951923857663,17.03241485633039,9.79219218238499,7.67680436217992,6.171024336701221,4.910574259758246,3.7293430999400052
WSM,Samoa,20.537728372591786,20.08715023935806,18.36427947433409,15.31984101193331,6.062288460086939,4.473414590916631,3.5474632212884374,2.7754346694618115,2.016144462370157
YEM,Yemen,26.29059908710353,25.869340831394936,24.68215023264236,22.474939396686448,8.160001185716153,4.41731498379893,3.0592957701157615,2.241796782208496,1.6832091624738617
ZAF,South Africa,18.583876251583657,18.158963600736506,16.42097482892104,14.131453795377572,11.312579160743898,8.794831721381758,6.665545079051073,5.035452764800267,3.483806117368409
ZMB,Zambia,26.18459207102444,25.349416598931178,21.34243321481945,16.666415398632036,11.085482593161991,9.027989864476007,7.384908062647266,5.965874770122596,4.536923022524269
ZWE,Zimbabwe,25.442511785739022,24.9865825658981,23.08629887402237,19.92703079751931,10.876710987068808,8.18186400395289,6.434385363303312,5.082182563025722,3.8304014133157493
